,cc_width,cc_height,cc_area,cc_centroid_row,cc_centroid_col,time_since_start(mins),cc_cen_col_dist_mean,folder_name
0,21.5,181.5,2060.75,413.8626522096596,428.6395866596147,262,61.612375911250595,alclat2_stem
1,15.0,121.0,450.0,270.99555555555344,425.2288888888921,264,58.20167814054332,alclat2_stem
2,16.0,44.0,181.0,780.3646408839816,438.635359116021,331,71.6081483676765,alclat2_stem
3,16.0,191.0,1355.25,309.673500437549,392.09993871915276,380,25.072727970802077,alclat2_stem
4,12.5,37.0,232.0,894.307652032777,406.4532317599922,396,39.426021011648174,alclat2_stem
5,9.5,37.5,148.0,876.7047604035301,261.4025851197977,459,105.62462562854734,alclat2_stem
6,8.0,39.0,100.0,221.1699999999996,392.31000000000006,514,25.282789251654435,alclat2_stem
7,9.857142857142858,56.42857142857143,228.42857142857142,523.721674358366,298.04934616327955,596,68.97786458506656,alclat2_stem
8,22.0,186.2,918.8,418.4779855925008,363.29823565614356,617,11.435875819189494,alclat2_stem
9,14.0,93.0,642.0,728.6386292834804,359.9922118380118,661,7.034998910339311,alclat2_stem
10,35.25,240.75,3708.0,200.8342765614845,409.3579896814731,682,42.330778933144714,alclat2_stem
11,10.5,27.0,143.5,932.2186800894849,341.0259945530589,686,26.00121619528653,alclat2_stem
12,23.8,159.4,1038.8,368.81316755531725,336.8031884315877,694,30.22402231675976,alclat2_stem
13,8.333333333333334,15.333333333333334,80.0,799.2379737800096,352.10766851459715,697,14.91954223374851,alclat2_stem
14,30.5,237.5,2060.25,417.24168895095954,376.8533218274131,720,21.046430234163083,alclat2_stem
15,19.333333333333332,201.33333333333334,920.0,744.025466873647,390.10764185538386,722,23.08043110704415,alclat2_stem
16,12.0,45.0,189.0,310.656084656084,380.0952380952371,728,13.068027346892507,alclat2_stem
17,8.5,29.5,139.5,36.22742385955592,346.9679146163053,747,20.059296132040203,alclat2_stem
18,8.0,41.0,140.0,132.79999999999967,358.671428571428,749,8.355782176916989,alclat2_stem
19,13.0,33.0,141.0,167.6453900709215,362.49645390071015,766,4.530756847636326,alclat2_stem
20,6.0,56.0,192.0,266.3489583333339,376.671875,772,9.644664251654433,alclat2_stem
21,5.0,22.0,69.0,250.63768115942014,373.66666666666697,774,6.639455918321119,alclat2_stem
22,13.333333333333334,62.0,513.3333333333334,559.1445187853864,464.02960822844716,776,97.00239748010465,alclat2_stem
23,7.0,39.0,148.0,213.2567567567567,370.89864864864813,789,3.8714379003030785,alclat2_stem
24,5.0,21.0,60.0,193.64999999999978,367.1333333333337,791,0.10612258498775873,alclat2_stem
25,7.0,28.0,96.0,210.6875,373.3125,799,6.285289251654433,alclat2_stem
26,20.285714285714285,112.71428571428571,803.0,413.289207051638,283.1215297076869,841,83.90568104066192,alclat2_stem
27,18.8,95.2,692.2,692.5034605254921,267.4425966525496,848,99.58461409579543,alclat2_stem
28,67.0,353.0,3985.0,169.03237139271494,239.00125470513214,850,128.02595604320126,alclat2_stem
29,12.333333333333334,39.333333333333336,234.0,847.5509894160878,254.33176835284198,865,112.69544239550414,alclat2_stem
30,9.5,23.5,127.0,411.3276907155533,269.40856002365445,869,97.61865072469092,alclat2_stem
31,6.0,30.0,89.0,445.1235955056181,271.23595505618016,873,95.7912556921658,alclat2_stem
32,9.0,29.0,200.0,383.23000000000064,266.9599999999993,875,100.06721074834559,alclat2_stem
33,9.0,33.0,131.0,415.58015267175523,269.05343511450343,886,97.97377563384174,alclat2_stem
34,26.0,171.0,1137.0,797.2119613016572,245.87510993843765,896,121.1521008099111,alclat2_stem
35,15.0,22.5,162.5,895.7133416647741,233.30686207680054,898,133.72034867154485,alclat2_stem
36,12.0,30.0,218.0,944.1513761467922,222.63761467889896,900,144.3895960694465,alclat2_stem
37,11.0,45.0,246.0,603.1260162601636,473.0447154471517,984,106.01750469880892,alclat2_stem
38,17.857142857142858,74.71428571428571,460.0,513.9783795605925,438.90034954906105,1018,71.87313880071675,alclat2_stem
39,18.333333333333332,107.0,701.0,156.81789940842165,423.28075109202115,1020,56.25354034367788,alclat2_stem
40,6.0,24.0,84.0,879.0341747022126,289.6898752127057,1022,77.33733553563994,alclat2_stem
41,11.8,60.8,433.2,583.7705135273983,329.20134222228006,1033,37.82586852606727,alclat2_stem
42,11.0,45.0,260.5,35.539240610136375,305.0322084631801,1058,61.99500228516695,alclat2_stem
43,46.0,225.0,2042.0,100.13858961802208,272.4936336924506,1060,94.53357705588718,alclat2_stem
44,18.0,88.66666666666667,598.6666666666666,219.50425885152762,313.74382144698126,1062,53.28338930136687,alclat2_stem
45,8.0,67.2,283.4,495.93924865220316,337.0023547280239,1064,30.024856020320442,alclat2_stem
46,16.5,132.5,674.0,778.3323924579403,332.9653005156005,1066,34.061910232745845,alclat2_stem
47,9.0,26.0,152.0,946.2631578947369,315.9342105263151,1068,51.09300022202979,alclat2_stem
48,12.0,47.0,274.0,935.0729927007327,293.94525547445085,1077,73.08195527389302,alclat2_stem
49,10.0,30.0,156.0,829.0384615384646,235.1730769230774,1089,131.85413382526863,alclat2_stem
50,11.0,32.0,153.0,255.45751633986941,319.398692810457,1110,47.628517937888034,alclat2_stem
51,9.666666666666666,54.0,195.33333333333334,271.71457316629716,338.33964679956085,1163,28.68756394878496,alclat2_stem
52,8.0,41.0,138.0,34.09420289855068,288.2826086956527,1171,78.74460205269338,alclat2_stem
53,15.0,42.0,288.0,525.3159722222198,465.03125,1177,98.00403925165443,alclat2_stem
54,11.0,29.0,168.0,497.3571428571438,460.7857142857148,1186,93.75850353736871,alclat2_stem
